State,District,Crop,Seed_Variety,Rainfall_mm,Temperature_C,Soil_pH,Soil_Moisture,Humidity,Irrigation_Count,Previous_Yield_kg_ha,Area_Hectares,Yield_kg_ha
Uttar Pradesh,Lucknow,Rice,MTU-1010 (AP/Telangana),1024.1785382528085,27.01607494590085,6.89,13.0,59,3,4885,2.86,5158.61
Punjab,Amritsar,Wheat,HW-2045 (North India),468.7705418717418,25.531993647656595,5.89,17.3,58,7,3028,0.71,3435.46
Uttar Pradesh,Lucknow,Cotton,Bollgard-II (Maharashtra),612.2516056444242,28.814943064209853,6.14,29.9,59,3,3085,3.48,1152.1
Karnataka,Belagavi,Rice,IR-64 (Andhra/Telangana),952.2158987511888,20.641154566420784,5.7,39.0,54,4,6387,2.11,4202.5
Andhra Pradesh,Krishna,Wheat,HD-2967 (North-West India),985.9045723921154,21.32935945623043,6.69,10.4,73,6,4599,4.38,3896.78
Karnataka,Bengaluru Rural,Cotton,Bollgard-II (Maharashtra),522.9616776131293,31.34876441524688,6.39,18.4,64,5,4190,3.92,824.55
Uttar Pradesh,Agra,Wheat,PBW-343 (Punjab/Haryana),1273.8585632208683,28.68363438197662,8.52,21.7,65,6,3178,3.9,4206.26
Karnataka,Dharwad,Rice,IR-64 (Andhra/Telangana),697.8765992767031,25.74385034745412,7.05,33.7,61,0,2806,2.42,4374.88
Uttar Pradesh,Agra,Maize,Kaveri-50 (South India),,28.41369345262961,,,69,7,2995,3.66,4564.56
Telangana,Karimnagar,Maize,HQPM-1 (Karnataka/AP),964.3875976806912,27.23943929481841,5.35,17.1,58,0,4974,3.56,4295.93
Andhra Pradesh,Chittoor,Rice,Sona-Masoori (South India),275.3102145903222,32.68114996410257,7.8,10.6,63,5,3430,4.17,4443.96
Punjab,Patiala,Rice,MTU-1010 (AP/Telangana),789.2994137735894,28.823793151592984,7.66,35.5,73,6,3343,4.73,4928.05
Maharashtra,Pune,Sugarcane,Co-86032 (Tamil Nadu/AP),1007.0032102473568,18.85605397226341,6.79,31.5,54,7,2516,2.82,80671.18
Karnataka,Dharwad,Cotton,JKCH-1947 (Gujarat/MH),915.7061499332956,29.255587278711605,6.41,16.9,62,3,6182,4.71,2137.22
Karnataka,Mysuru,Rice,IR-64 (Andhra/Telangana),1063.2620777624402,31.35940612911949,5.39,38.1,66,3,5993,1.96,5146.84
Uttar Pradesh,Kanpur,Maize,HQPM-1 (Karnataka/AP),1092.4943399826984,31.939363328413656,6.75,26.2,56,4,2062,4.51,4835.28
